amount,transaction_time,transaction_type,merchant_category,is_international,is_fraud
46.92680899768591,Evening,POS,Travel,0,0
301.0121430917521,Night,Online,Others,1,1
131.67456935454493,Night,Online,Grocery,1,1
91.29425537759532,Afternoon,POS,Travel,0,0
16.962487046234628,Morning,ATM,Electronics,0,0
16.959629191460518,Night,ATM,Grocery,0,0
5.983876860868068,Afternoon,POS,Electronics,0,0
201.12308644799396,Evening,ATM,Electronics,1,0
91.90821536272645,Evening,ATM,Others,0,0
123.12500617045903,Evening,ATM,Grocery,0,0
2.0799307999138623,Evening,POS,Electronics,0,1
350.3557475158312,Afternoon,Online,Travel,1,1
178.6429543354675,Morning,Online,Others,0,1
23.8687625248947,Afternoon,Online,Travel,0,1
20.067898874966335,Morning,Online,Travel,0,0
20.261142283225706,Evening,Online,Others,0,1
36.27537294604771,Night,ATM,Electronics,0,0
74.39278308608544,Night,ATM,Travel,0,1
56.55370667803366,Night,ATM,Electronics,0,0
34.42229925539415,Morning,POS,Electronics,0,0
94.63708738997987,Evening,ATM,Others,1,0
15.023452872733866,Afternoon,Online,Travel,0,0
34.551551200240226,Night,ATM,Travel,0,0
45.6277218220847,Morning,Online,Others,0,0
60.893468785977504,Night,ATM,Electronics,0,1
153.7936011030912,Afternoon,Online,Electronics,0,0
22.273586212869027,Evening,ATM,Others,0,0
72.20291550331277,Afternoon,Online,Electronics,0,0
89.75047213097605,Evening,Online,Electronics,1,1
4.756384975640855,Evening,POS,Travel,0,0
93.533302064961,Evening,ATM,Electronics,0,0
18.696125197741644,Night,Online,Electronics,1,1
6.726393087930424,Afternoon,ATM,Electronics,0,0
297.3687793506931,Night,Online,Electronics,0,1
337.06303424611724,Afternoon,POS,Others,0,0
165.23315728128767,Morning,POS,Others,0,0
36.32878599687583,Morning,POS,Others,0,0
10.277731500250624,Afternoon,POS,Electronics,0,0
115.27507630986618,Afternoon,Online,Others,0,0
58.009084258539836,Afternoon,ATM,Grocery,0,0
13.015223395444863,Afternoon,POS,Grocery,0,0
68.35472281341501,Evening,POS,Grocery,1,1
3.4993721443479084,Night,POS,Travel,0,0
240.04228873930236,Evening,ATM,Electronics,0,1
29.94577768406861,Night,Online,Travel,1,1
108.62557985649804,Night,Online,Others,0,1
37.354658165762366,Night,Online,Electronics,0,0
73.41108959092286,Evening,Online,Grocery,0,0
79.12237979817975,Afternoon,ATM,Electronics,0,0
20.438859950790576,Evening,ATM,Travel,0,0
349.28071327362267,Evening,ATM,Others,1,1
149.22453771381407,Night,POS,Others,0,0
280.50944192915824,Morning,ATM,Travel,0,0
225.21519975341965,Morning,Online,Electronics,0,1
91.1054412383275,Evening,ATM,Travel,0,0
254.9435379269405,Night,POS,Others,0,0
9.265545895311563,Evening,Online,Grocery,1,1
21.813469463126744,Evening,ATM,Others,0,0
4.628196568683196,Afternoon,Online,Others,0,0
39.35320868030868,Night,Online,Electronics,1,1
49.21302917942186,Morning,ATM,Grocery,0,0
31.65604432088257,Morning,ATM,Others,1,0
176.45578652409338,Morning,POS,Grocery,0,0
44.12269995298701,Evening,ATM,Travel,0,0
32.98028401342492,Night,ATM,Electronics,0,0
78.2407083207746,Afternoon,ATM,Grocery,1,0
15.189814782062886,Morning,Online,Grocery,0,0
162.04835957747312,Night,POS,Electronics,0,0
7.747586881130901,Morning,Online,Travel,0,0
433.41463395873194,Afternoon,ATM,Grocery,0,0
147.94837762415114,Night,POS,Electronics,1,0
22.153944050588596,Evening,ATM,Others,0,0
0.5537420375935475,Evening,Online,Electronics,1,1
168.9896777486126,Morning,Online,Others,0,0
122.70959073870446,Morning,ATM,Grocery,0,0
130.5662908787999,Night,POS,Grocery,0,1
147.52145260435134,Afternoon,Online,Grocery,0,0
7.692926551379635,Morning,ATM,Travel,1,0
44.38926724162325,Night,ATM,Travel,0,1
12.315010460444965,Afternoon,ATM,Others,0,0
